# --------------------------------------------------
# nrow : 903
# ncol : 11
# comment : RFF predictors
# time_generated : 2025-12-08 12:49:41
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/2_Hydrology/2_FloodFrequencyAnalysis/6_covariate_paper/0_DataProcessingScripts/covariate_paper/scripts/data/D040_prepare_rff_predictors.py
# work_dir : /datasets/work/lw-resilient-nr/work/2_Hydrology/2_FloodFrequencyAnalysis/6_covariate_paper/0_DataProcessingScripts/covariate_paper
# python_environment posix
# python_version : 3.12.9 | packaged by conda-forge | (main, Mar  4 2025, 22:48:41) [GCC 13.3.0]
# pandas_version : 2.3.3
# numpy_version : 1.26.4
# python_inc : /datasets/work/lw-resilient-nr/work/0_Common_Data/5_Software/1_Python/conda/envs/env_jl_v2_pet/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/5_Software/1_Python/conda/envs/env_jl_v2_pet/lib/python3.12/site-packages
# --------------------------------------------------
STATIONID,PRECIPITATION_IFD_RATIO_AEP50%_2%[mm],CENTER_OZ_METRIC[-],RATIO_OUTLET_DISTANCE_VS_SQRTAREA[-],RATIO_MAXPATH_VS_SQRTAREA[-],ARIDITY_INDEX[-],XCENTROID_EPSG28356[m],YCENTROID_EPSG28356[m],LOG10_CATCHMENTAREA_VALID[km2][-],LOG10_DISTANCE_CENTROID_FROM_COAST[km][-],LOG10_PRECIPITATION_IFD_AEP2%[mm][-],LOG10_PRECIPITATION_IFD_AEP50%[mm][-]
602004,0.39821,-0.72009,0.86637,2.78585,0.47227,-2784917.25000,5556356.00000,3.33842,1.74843,1.04922,0.64933
603023,0.45981,-0.71875,0.88205,2.50978,0.81905,-2827159.50000,5490719.00000,1.81117,1.06837,1.02938,0.69197
603020,0.46389,-0.71786,0.71986,2.25109,0.95071,-2823495.50000,5485518.00000,1.50106,0.76419,1.03342,0.69984
602015,0.42321,-0.71673,1.19374,2.65557,0.69439,-2781477.25000,5524959.00000,2.24988,1.47942,1.04922,0.67578
603007,0.45943,-0.71643,1.01581,2.84240,0.69011,-2797462.25000,5502021.50000,1.87892,1.24385,1.02531,0.68753
602014,0.44000,-0.71609,1.03866,2.93841,0.66745,-2782719.75000,5516561.50000,2.19201,1.34354,1.04139,0.68485
603013,0.47238,-0.71549,0.76310,1.93755,0.69669,-2797534.75000,5491725.50000,1.78611,0.92807,1.02119,0.69548
603024,0.44602,-0.71426,0.76485,2.24133,0.78077,-2775948.25000,5505228.50000,1.44576,0.99995,1.05308,0.70243
602031,0.39680,-0.71331,0.74928,2.05224,0.76318,-2739387.75000,5541059.50000,2.37716,1.06209,1.09691,0.69548
602199,0.41667,-0.71310,0.54679,1.58572,0.74841,-2751236.00000,5523809.00000,1.69197,0.97161,1.07918,0.69897
601008,0.37768,-0.70153,1.37284,3.48147,0.39349,-2441203.75000,5815703.00000,2.50368,1.60583,1.04922,0.62634
A5120503,0.41109,-0.40689,0.44188,1.67490,0.38944,-1088303.00000,6048231.00000,1.47567,1.24954,0.98046,0.59439
A5131014,0.42772,-0.37766,0.82246,3.28231,0.48752,-923001.68750,5931228.50000,2.68142,1.17517,1.00432,0.63548
A5010503,0.40351,-0.35154,0.63080,2.14877,0.56804,-819064.56250,5972366.50000,2.21564,1.08977,1.05690,0.66276
A4260530,0.42566,-0.34773,0.49774,2.24692,0.61984,-806448.56250,5983517.50000,1.75648,1.06276,1.05308,0.68215
A4260504,0.44825,-0.34556,0.64699,2.74192,0.60460,-806960.81250,6004415.00000,2.28443,1.30809,1.05690,0.70842
A5040901,0.46460,-0.34368,0.97088,2.77974,0.55685,-813022.56250,6032539.50000,1.24674,1.15822,1.05308,0.72016
A5031001,0.45088,-0.33911,0.67188,2.09507,0.63129,-795270.18750,6039320.00000,2.35660,1.51952,1.05690,0.71096
A4260533,0.40789,-0.33786,0.79544,2.23191,0.47611,-783796.00000,6029412.50000,2.69239,1.63058,1.05690,0.66745
A4260558,0.44825,-0.33785,0.85023,2.28248,0.55990,-787488.25000,6036086.00000,1.61700,1.60229,1.05690,0.70842
A5040512,0.42368,-0.33329,0.54066,2.25405,0.51133,-780904.31250,6062542.00000,1.41664,1.71728,1.05690,0.68395
A5050504,0.40095,-0.33278,0.66697,3.03265,0.39291,-793271.00000,6088044.50000,2.84578,1.69116,1.02119,0.62428
A5050535,0.42593,-0.33200,0.69148,2.92332,0.47071,-787807.87500,6084921.50000,1.32634,1.71721,1.03342,0.66276
A5050502,0.41495,-0.33178,0.68015,3.14454,0.41601,-787849.31250,6086760.50000,2.57507,1.72433,1.02938,0.64738
A5050533,0.41091,-0.33127,0.59552,2.00274,0.46307,-782287.12500,6081270.50000,1.64738,1.74441,1.04139,0.65514
A5050517,0.40000,-0.33000,0.76001,2.69514,0.40285,-781265.37500,6089613.50000,2.06930,1.77915,1.03743,0.63949
A5050532,0.39800,-0.32881,0.60265,2.89552,0.36547,-796828.06250,6125071.00000,2.92319,1.84838,1.00000,0.59988
A5070503,0.41255,-0.32732,0.33457,1.93685,0.33363,-834036.87500,6197996.00000,3.39270,1.85525,0.98767,0.60314
A4260536,0.39417,-0.32370,0.80302,2.92289,0.51118,-806631.18750,6178794.50000,2.73352,1.97172,1.01284,0.60853
237207,0.43302,-0.32248,0.86164,2.77774,0.94370,-508346.59375,5709187.00000,2.49136,1.19471,1.02531,0.66181
237202,0.42617,-0.32159,0.73853,2.55956,0.82024,-509995.50000,5721028.00000,2.36922,1.36795,1.02938,0.65896
238230,0.41000,-0.31930,0.67163,2.18322,0.59454,-513620.18750,5749866.00000,2.25768,1.65357,1.04139,0.65418
A2390519,0.41275,-0.31848,0.82113,2.47571,0.45058,-561020.68750,5831947.00000,3.08458,2.01505,1.00860,0.62428
238235,0.40455,-0.31809,0.70398,2.90974,0.62649,-501219.46875,5742647.50000,2.78247,1.60043,1.04139,0.64836
238223,0.40901,-0.31495,0.96079,3.78316,0.55505,-515166.56250,5794752.00000,2.24055,1.93007,1.04532,0.65706
238229,0.41101,-0.31426,0.96157,2.96514,0.55263,-515787.18750,5802216.00000,1.83885,1.96318,1.03743,0.65128
237209,0.39636,-0.31415,0.59668,2.24564,0.54775,-476783.65625,5744267.50000,2.77815,1.58662,1.04139,0.63949
237206,0.39386,-0.31384,0.98525,3.09991,0.61567,-464684.34375,5729061.50000,2.70070,1.39532,1.05690,0.65225
237200,0.38870,-0.31107,0.88282,2.97826,0.67803,-443149.65625,5724424.00000,2.75587,1.41292,1.06070,0.65031
238219,0.40093,-0.30927,0.88071,2.81255,0.55623,-458254.75000,5764264.00000,2.99870,1.78249,1.02938,0.63246
