# --------------------------------------------------,,,,,,,,,,,,
# nrow : 111,,,,,,,,,,,,
# ncol : 12,,,,,,,,,,,,
# comment : AMS of AWRA cookies,,,,,,,,,,,,
# time_generated : 2026-07-03 10:51:05,,,,,,,,,,,,
# author : ler015,,,,,,,,,,,,
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py,,,,,,,,,,,,
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts,,,,,,,,,,,,
# python_environment posix,,,,,,,,,,,,
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0],,,,,,,,,
# pandas_version : 3.0.3,,,,,,,,,,,,
# numpy_version : 2.5.0,,,,,,,,,,,,
# python_inc : /home/ler015/miniconda3/include/python3.12,,,,,,,,,,,,
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages,,,,,,,,,,,,
# --------------------------------------------------,,,,,,,,,,,,
WATER_YEAR_START,WILSONSRIVER_PRECIPITATION_TIMEPEAK,WILSONSRIVER_PRECIPITATION_PEAK,WILSONSRIVER_PRECIPITATION_NVALID,WILSONSRIVER_PRECIPITATION_DAYOFYEAR,WILSONSRIVER_QTOT_TIMEPEAK,WILSONSRIVER_QTOT_PEAK,WILSONSRIVER_QTOT_NVALID,WILSONSRIVER_QTOT_DAYOFYEAR,WILSONSRIVER_SMPFULL_TIMEPEAK,WILSONSRIVER_SMPFULL_PEAK,WILSONSRIVER_SMPFULL_NVALID,WILSONSRIVER_SMPFULL_DAYOFYEAR
1997-10-01,10/02/1998 9:00,55.91624,364,132,1998-09-12,4.03073,364,346,24/04/1998 9:00,0.64135,364,205
1998-10-01,11/04/1999 9:00,88.8192,364,192,1999-04-11,34.67863,364,192,11/04/1999 9:00,0.80208,364,192
1999-10-01,14/01/2000 9:00,98.95073,365,105,2000-01-14,22.89947,365,105,14/01/2000 9:00,0.75261,365,105
2000-10-01,2/02/2001 9:00,246.77887,364,124,2001-02-02,62.90022,364,124,2/02/2001 9:00,0.82881,364,124
2001-10-01,3/06/2002 9:00,52.07132,364,245,2002-06-03,5.36339,364,245,3/06/2002 9:00,0.67313,364,245
2002-10-01,27/06/2003 9:00,54.00183,364,269,2003-04-29,15.34713,364,210,27/06/2003 9:00,0.76542,364,269
2003-10-01,6/03/2004 9:00,148.24142,365,157,2004-03-06,31.57625,365,157,6/03/2004 9:00,0.81071,365,157
2004-10-01,30/06/2005 9:00,178.38344,364,272,2005-06-30,56.5678,364,272,30/06/2005 9:00,0.81802,364,272
2005-10-01,20/01/2006 9:00,112.49386,364,111,2006-01-20,39.65588,364,111,20/01/2006 9:00,0.8093,364,111
2006-10-01,23/09/2007 9:00,48.33497,364,357,2007-08-22,2.53789,364,325,10/11/2006 9:00,0.64967,364,40
2007-10-01,4/01/2008 9:00,98.06795,365,95,2008-01-05,49.97146,365,96,5/01/2008 9:00,0.80731,365,96
2008-10-01,22/05/2009 9:00,167.77261,364,233,2009-05-22,70.54394,364,233,22/05/2009 9:00,0.82434,364,233
2009-10-01,7/02/2010 9:00,75.01675,364,129,2010-03-03,17.35434,364,153,3/03/2010 9:00,0.75835,364,153
2010-10-01,25/12/2010 9:00,74.84957,364,85,2010-12-28,32.6992,364,88,28/12/2010 9:00,0.79256,364,88
2011-10-01,26/01/2012 9:00,82.71319,365,117,2012-01-26,34.47205,365,117,26/01/2012 9:00,0.79986,365,117
2012-10-01,28/01/2013 9:00,142.80051,364,119,2013-02-23,44.10912,364,145,23/02/2013 9:00,0.80501,364,145
2013-10-01,28/03/2014 9:00,122.02937,364,178,2014-08-28,20.43432,364,331,28/08/2014 9:00,0.78303,364,331
2014-10-01,2/05/2015 9:00,143.3335,364,213,2015-05-02,31.63498,364,213,2/05/2015 9:00,0.80973,364,213
2015-10-01,5/06/2016 9:00,159.71268,365,248,2016-06-05,38.35351,365,248,5/06/2016 9:00,0.95004,365,248
2016-10-01,31/03/2017 9:00,270.10452,364,181,2017-03-31,90.66254,364,181,31/03/2017 9:00,0.989,364,181
2017-10-01,15/10/2017 9:00,67.96066,364,14,2018-03-07,11.93863,364,157,7/03/2018 9:00,0.88493,364,157
2018-10-01,15/10/2018 9:00,50.39651,364,14,2018-10-16,10.83798,364,15,17/10/2018 9:00,0.87192,364,16
2019-10-01,18/01/2020 9:00,108.6057,365,109,2020-02-14,44.24355,365,136,14/02/2020 9:00,0.94785,365,136
2020-10-01,13/12/2020 9:00,126.78217,364,73,2020-12-15,42.93348,364,75,15/12/2020 9:00,0.96436,364,75
2021-10-01,28/02/2022 9:00,451.15967,303,150,2022-02-28,160.74335,303,150,28/02/2022 9:00,0.99158,303,150
