# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:09
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,203010_PRECIPITATION_TIMEPEAK,203010_PRECIPITATION_PEAK,203010_PRECIPITATION_NVALID,203010_PRECIPITATION_DAYOFYEAR,203010_QTOT_TIMEPEAK,203010_QTOT_PEAK,203010_QTOT_NVALID,203010_QTOT_DAYOFYEAR,203010_SMPFULL_TIMEPEAK,203010_SMPFULL_PEAK,203010_SMPFULL_NVALID,203010_SMPFULL_DAYOFYEAR
1956-10-01,1956-12-22 09:00:00,98.01729,364,82,1957-08-28 09:00:00,5.41737,364,331,1957-08-28 09:00:00,0.68120,364,331
1957-10-01,1958-06-11 09:00:00,77.87222,364,253,1958-06-11 09:00:00,26.04187,364,253,1958-06-11 09:00:00,0.78997,364,253
1958-10-01,1959-02-18 09:00:00,110.77175,364,140,1959-02-18 09:00:00,38.23327,364,140,1959-02-18 09:00:00,0.81766,364,140
1959-10-01,1959-11-12 09:00:00,65.14922,365,42,1959-11-13 09:00:00,24.19431,365,43,1959-11-13 09:00:00,0.77519,365,43
1960-10-01,1961-02-19 09:00:00,124.42829,364,141,1961-02-20 09:00:00,15.61793,364,142,1961-02-19 09:00:00,0.77793,364,141
1961-10-01,1962-07-11 09:00:00,158.39793,364,283,1962-07-11 09:00:00,64.52416,364,283,1962-07-11 09:00:00,0.83358,364,283
1962-10-01,1962-12-24 09:00:00,68.02003,364,84,1963-05-08 09:00:00,64.06227,364,219,1963-05-08 09:00:00,0.83743,364,219
1963-10-01,,,365,-1,1964-03-27 09:00:00,18.11875,365,178,1964-03-27 09:00:00,0.78934,365,178
1964-10-01,1965-07-20 09:00:00,254.58310,364,292,1965-07-21 09:00:00,71.62816,364,293,1965-07-20 09:00:00,0.84211,364,292
1965-10-01,1966-06-11 09:00:00,120.78217,364,253,1966-06-11 09:00:00,16.81229,364,253,1966-06-11 09:00:00,0.76626,364,253
1966-10-01,1967-03-19 09:00:00,107.02728,364,169,1967-03-19 09:00:00,51.57037,364,169,1967-03-19 09:00:00,0.81888,364,169
1967-10-01,1968-01-13 09:00:00,73.58582,365,104,1968-01-13 09:00:00,29.84875,365,104,1968-01-13 09:00:00,0.80286,365,104
