# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:52:13
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,H058176_PRECIPITATION_TIMEPEAK,H058176_PRECIPITATION_PEAK,H058176_PRECIPITATION_NVALID,H058176_PRECIPITATION_DAYOFYEAR,H058176_QTOT_TIMEPEAK,H058176_QTOT_PEAK,H058176_QTOT_NVALID,H058176_QTOT_DAYOFYEAR,H058176_SMPFULL_TIMEPEAK,H058176_SMPFULL_PEAK,H058176_SMPFULL_NVALID,H058176_SMPFULL_DAYOFYEAR
1968-10-01,1969-05-15 09:00:00,53.46522,364,226,1969-05-15 09:00:00,10.11770,364,226,1969-05-15 09:00:00,0.69872,364,226
1969-10-01,1970-02-22 09:00:00,61.61988,364,144,1970-02-22 09:00:00,9.54839,364,144,1970-02-27 09:00:00,0.68929,364,149
1970-10-01,1970-12-09 09:00:00,97.11608,364,69,1970-12-10 09:00:00,24.07322,364,70,1970-12-10 09:00:00,0.79830,364,70
1971-10-01,1972-04-03 09:00:00,112.37720,365,185,1972-02-13 09:00:00,39.08397,365,135,1972-02-13 09:00:00,0.80998,365,135
1972-10-01,1972-10-28 09:00:00,127.64307,364,27,1972-10-29 09:00:00,51.11439,364,28,1972-10-28 09:00:00,0.81201,364,27
1973-10-01,1974-03-11 09:00:00,202.12610,364,161,1974-03-11 09:00:00,83.56157,364,161,1974-03-11 09:00:00,0.82905,364,161
1974-10-01,1975-03-02 09:00:00,144.46060,364,152,1975-03-03 09:00:00,66.73942,364,153,1975-03-03 09:00:00,0.82208,364,153
1975-10-01,1976-02-11 09:00:00,150.28217,365,133,1976-02-29 09:00:00,48.91203,365,151,1976-02-11 09:00:00,0.81024,365,133
1976-10-01,1977-03-03 09:00:00,101.80473,364,153,1977-05-19 09:00:00,22.45670,364,230,1977-03-03 09:00:00,0.78676,364,153
1977-10-01,1978-03-18 09:00:00,144.82303,364,168,1978-03-19 09:00:00,66.74184,364,169,1978-03-19 09:00:00,0.82031,364,169
1978-10-01,1979-07-30 09:00:00,112.87520,364,302,1979-01-24 09:00:00,23.82188,364,115,1979-02-06 09:00:00,0.79086,364,128
1979-10-01,1980-05-09 09:00:00,165.89053,365,221,1980-05-09 09:00:00,71.35094,365,221,1980-05-09 09:00:00,0.82722,365,221
1980-10-01,1981-02-21 09:00:00,108.07870,364,143,1981-02-21 09:00:00,24.34626,364,143,1981-02-21 09:00:00,0.80218,364,143
1981-10-01,1982-09-22 09:00:00,67.10976,364,356,1982-03-15 09:00:00,14.49207,364,165,1982-03-14 09:00:00,0.76957,364,164
1982-10-01,1983-06-23 09:00:00,95.28214,364,265,1983-06-23 09:00:00,39.36243,364,265,1983-06-23 09:00:00,0.80690,364,265
1983-10-01,1984-04-09 09:00:00,174.71666,365,191,1984-04-09 09:00:00,52.17862,365,191,1984-04-09 09:00:00,0.82559,365,191
1984-10-01,1985-07-09 09:00:00,124.33119,364,281,1984-11-01 09:00:00,27.32443,364,31,1985-07-09 09:00:00,0.78708,364,281
1985-10-01,1985-10-27 09:00:00,85.97864,364,26,1985-10-27 09:00:00,2.62113,364,26,1986-05-12 09:00:00,0.58035,364,223
1986-10-01,1987-03-05 09:00:00,172.98608,364,155,1987-05-11 09:00:00,77.43690,364,222,1987-03-05 09:00:00,0.82621,364,155
1987-10-01,1988-09-15 09:00:00,134.59650,365,350,1988-04-07 09:00:00,60.70049,365,189,1988-04-04 09:00:00,0.81338,365,186
1988-10-01,1989-04-02 09:00:00,229.36943,364,183,1989-04-02 09:00:00,77.34607,364,183,1989-04-02 09:00:00,0.82975,364,183
1989-10-01,1990-02-03 09:00:00,140.23453,364,125,1990-02-03 09:00:00,34.61330,364,125,1990-05-28 09:00:00,0.80768,364,239
1990-10-01,1991-02-08 09:00:00,89.52692,364,130,1991-03-13 09:00:00,8.38283,364,163,1991-06-10 09:00:00,0.68638,364,252
1991-10-01,1991-12-13 09:00:00,133.16827,365,73,1992-03-17 09:00:00,15.26267,365,168,1991-12-13 09:00:00,0.80189,365,73
1992-10-01,1993-02-07 09:00:00,50.34080,364,129,1993-07-14 09:00:00,7.21423,364,286,1993-07-14 09:00:00,0.68687,364,286
1993-10-01,1994-03-01 09:00:00,67.11215,364,151,1994-03-04 09:00:00,31.27713,364,154,1994-03-03 09:00:00,0.79409,364,153
1994-10-01,1995-02-16 09:00:00,124.10764,364,138,1995-02-16 09:00:00,37.36777,364,138,1995-02-16 09:00:00,0.80858,364,138
1995-10-01,1996-05-03 09:00:00,111.40909,365,215,1996-05-07 09:00:00,49.82489,365,219,1996-05-03 09:00:00,0.81419,365,215
1996-10-01,1997-07-31 09:00:00,46.89523,364,303,1997-02-19 09:00:00,6.23814,364,141,1997-02-28 09:00:00,0.70064,364,150
1997-10-01,1998-02-10 09:00:00,57.75101,364,132,1998-09-12 09:00:00,4.21391,364,346,1998-04-24 09:00:00,0.64306,364,205
1998-10-01,1999-04-11 09:00:00,91.14113,364,192,1999-04-11 09:00:00,35.40356,364,192,1999-04-11 09:00:00,0.80459,364,192
1999-10-01,2000-01-14 09:00:00,100.88719,365,105,2000-01-14 09:00:00,24.23718,365,105,2000-01-14 09:00:00,0.75783,365,105
2000-10-01,2001-02-02 09:00:00,256.24380,364,124,2001-02-02 09:00:00,65.15666,364,124,2001-02-02 09:00:00,0.83040,364,124
2001-10-01,2002-06-03 09:00:00,50.89706,364,245,2002-05-05 09:00:00,5.54699,364,216,2002-06-03 09:00:00,0.67285,364,245
2002-10-01,2003-06-27 09:00:00,57.39112,364,269,2003-04-29 09:00:00,16.19582,364,210,2003-06-27 09:00:00,0.76786,364,269
2003-10-01,2004-03-06 09:00:00,155.53983,365,157,2004-03-06 09:00:00,34.39574,365,157,2004-03-06 09:00:00,0.81791,365,157
2004-10-01,2005-06-30 09:00:00,180.15849,364,272,2005-06-30 09:00:00,57.70649,364,272,2005-06-30 09:00:00,0.81847,364,272
2005-10-01,2006-01-20 09:00:00,110.85851,364,111,2006-01-20 09:00:00,40.67307,364,111,2006-01-20 09:00:00,0.81026,364,111
2006-10-01,2007-09-23 09:00:00,49.19554,364,357,2007-08-22 09:00:00,2.84966,364,325,2007-09-23 09:00:00,0.66303,364,357
2007-10-01,2008-01-04 09:00:00,103.08047,365,95,2008-01-05 09:00:00,53.10850,365,96,2008-01-05 09:00:00,0.80968,365,96
2008-10-01,2009-05-22 09:00:00,166.42377,364,233,2009-05-22 09:00:00,71.43636,364,233,2009-05-22 09:00:00,0.82545,364,233
2009-10-01,2010-02-07 09:00:00,80.08778,364,129,2010-03-03 09:00:00,16.31953,364,153,2010-03-03 09:00:00,0.75494,364,153
2010-10-01,2010-12-25 09:00:00,78.89270,364,85,2010-12-28 09:00:00,34.61530,364,88,2010-12-28 09:00:00,0.79525,364,88
2011-10-01,2012-01-26 09:00:00,83.02959,365,117,2012-01-26 09:00:00,36.42020,365,117,2012-01-26 09:00:00,0.80149,365,117
2012-10-01,2013-01-28 09:00:00,149.08162,364,119,2013-02-23 09:00:00,45.61837,364,145,2013-02-23 09:00:00,0.80751,364,145
2013-10-01,2014-03-28 09:00:00,125.38049,364,178,2014-08-28 09:00:00,19.86094,364,331,2014-08-28 09:00:00,0.78230,364,331
2014-10-01,2015-05-02 09:00:00,143.31813,364,213,2015-05-02 09:00:00,31.69250,364,213,2015-05-02 09:00:00,0.81064,364,213
2015-10-01,2016-06-05 09:00:00,160.86848,365,248,2016-06-05 09:00:00,40.48893,365,248,2016-06-05 09:00:00,0.95029,365,248
2016-10-01,2017-03-31 09:00:00,270.45380,364,181,2017-03-31 09:00:00,90.74205,364,181,2017-03-31 09:00:00,0.98926,364,181
2017-10-01,2017-10-15 09:00:00,69.79765,364,14,2018-03-07 09:00:00,12.22141,364,157,2018-03-07 09:00:00,0.88975,364,157
2018-10-01,2018-10-15 09:00:00,52.73064,364,14,2018-10-16 09:00:00,12.23962,364,15,2018-10-16 09:00:00,0.87855,364,15
2019-10-01,2020-01-18 09:00:00,110.33965,365,109,2020-02-14 09:00:00,45.78282,365,136,2020-02-14 09:00:00,0.95000,365,136
2020-10-01,2020-12-13 09:00:00,131.89949,364,73,2020-12-15 09:00:00,45.80832,364,75,2020-12-15 09:00:00,0.96589,364,75
2021-10-01,2022-02-28 09:00:00,462.37872,303,150,2022-02-28 09:00:00,164.40768,303,150,2022-02-28 09:00:00,0.99166,303,150
