# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:05
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,RIVER_PRECIPITATION_TIMEPEAK,RIVER_PRECIPITATION_PEAK,RIVER_PRECIPITATION_NVALID,RIVER_PRECIPITATION_DAYOFYEAR,RIVER_QTOT_TIMEPEAK,RIVER_QTOT_PEAK,RIVER_QTOT_NVALID,RIVER_QTOT_DAYOFYEAR,RIVER_SMPFULL_TIMEPEAK,RIVER_SMPFULL_PEAK,RIVER_SMPFULL_NVALID,RIVER_SMPFULL_DAYOFYEAR
1978-10-01,1979-07-30 09:00:00,111.52257,364,302,1979-01-24 09:00:00,21.99720,364,115,1979-02-06 09:00:00,0.78142,364,128
1979-10-01,1980-05-09 09:00:00,161.87399,365,221,1980-05-09 09:00:00,71.31612,365,221,1980-05-09 09:00:00,0.82479,365,221
1980-10-01,1981-02-21 09:00:00,113.02374,364,143,1981-02-21 09:00:00,24.68027,364,143,1981-02-21 09:00:00,0.80251,364,143
1981-10-01,1982-09-22 09:00:00,63.70757,364,356,1982-03-15 09:00:00,13.78754,364,165,1982-03-14 09:00:00,0.76805,364,164
1982-10-01,1983-06-23 09:00:00,93.94235,364,265,1983-06-23 09:00:00,39.06061,364,265,1983-06-23 09:00:00,0.80479,364,265
1983-10-01,1984-04-09 09:00:00,170.04504,365,191,1984-04-09 09:00:00,49.39032,365,191,1984-04-09 09:00:00,0.82175,365,191
1984-10-01,1985-07-09 09:00:00,122.45477,364,281,1984-11-01 09:00:00,24.44998,364,31,1985-07-09 09:00:00,0.78733,364,281
1985-10-01,1985-10-27 09:00:00,86.29867,364,26,1985-10-27 09:00:00,2.58306,364,26,1986-05-12 09:00:00,0.58231,364,223
1986-10-01,1987-03-05 09:00:00,173.10938,364,155,1987-05-11 09:00:00,77.16310,364,222,1987-03-05 09:00:00,0.82451,364,155
1987-10-01,1988-09-15 09:00:00,139.82898,365,350,1988-04-07 09:00:00,61.23495,365,189,1988-04-04 09:00:00,0.81102,365,186
1988-10-01,1989-04-02 09:00:00,223.68460,364,183,1989-04-02 09:00:00,75.73727,364,183,1989-04-02 09:00:00,0.82779,364,183
1989-10-01,1990-02-03 09:00:00,135.43755,364,125,1990-04-06 09:00:00,33.73020,364,187,1990-05-28 09:00:00,0.80609,364,239
1990-10-01,1991-02-08 09:00:00,82.31181,364,130,1991-03-13 09:00:00,7.47947,364,163,1991-06-10 09:00:00,0.68781,364,252
1991-10-01,1991-12-13 09:00:00,131.25105,365,73,1992-03-17 09:00:00,14.27936,365,168,1991-12-13 09:00:00,0.79174,365,73
1992-10-01,1993-02-07 09:00:00,47.27014,364,129,1993-07-14 09:00:00,6.90244,364,286,1993-07-14 09:00:00,0.67622,364,286
1993-10-01,1994-03-01 09:00:00,65.74249,364,151,1994-03-04 09:00:00,30.52832,364,154,1994-03-03 09:00:00,0.79230,364,153
1994-10-01,1995-02-16 09:00:00,124.13348,364,138,1995-02-16 09:00:00,35.24875,364,138,1995-02-16 09:00:00,0.80677,364,138
1995-10-01,1996-05-03 09:00:00,113.01921,365,215,1996-05-07 09:00:00,48.68397,365,219,1996-05-03 09:00:00,0.81322,365,215
1996-10-01,1997-07-31 09:00:00,46.08504,364,303,1997-02-19 09:00:00,5.52250,364,141,1997-02-28 09:00:00,0.69346,364,150
