# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:47:02
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,RICHMOND_PRECIPITATION_TIMEPEAK,RICHMOND_PRECIPITATION_PEAK,RICHMOND_PRECIPITATION_NVALID,RICHMOND_PRECIPITATION_DAYOFYEAR,RICHMOND_QTOT_TIMEPEAK,RICHMOND_QTOT_PEAK,RICHMOND_QTOT_NVALID,RICHMOND_QTOT_DAYOFYEAR,RICHMOND_SMPFULL_TIMEPEAK,RICHMOND_SMPFULL_PEAK,RICHMOND_SMPFULL_NVALID,RICHMOND_SMPFULL_DAYOFYEAR
1955-10-01,1956-02-18 09:00:00,145.42044,365,140,1956-02-19 09:00:00,37.82059,365,141,1956-02-18 09:00:00,0.79905,365,140
1956-10-01,1956-12-22 09:00:00,72.92618,364,82,1957-08-28 09:00:00,2.51209,364,331,1957-08-28 09:00:00,0.57393,364,331
1957-10-01,1958-04-11 09:00:00,53.61955,364,192,1958-04-11 09:00:00,10.10787,364,192,1958-04-11 09:00:00,0.67380,364,192
1958-10-01,1959-01-22 09:00:00,129.42390,364,113,1959-02-18 09:00:00,33.76376,364,140,1959-02-18 09:00:00,0.79571,364,140
1959-10-01,1959-11-11 09:00:00,56.65841,365,41,1959-11-13 09:00:00,18.00351,365,43,1959-11-13 09:00:00,0.73595,365,43
1960-10-01,1961-02-19 09:00:00,118.85030,364,141,1961-02-20 09:00:00,16.50944,364,142,1961-02-20 09:00:00,0.74120,364,142
1961-10-01,1962-07-10 09:00:00,147.76041,364,282,1962-07-11 09:00:00,53.48525,364,283,1962-07-11 09:00:00,0.79380,364,283
1962-10-01,1962-12-24 09:00:00,67.65366,364,84,1963-05-08 09:00:00,65.44901,364,219,1963-05-08 09:00:00,0.80811,364,219
1963-10-01,,,365,-1,1964-03-09 09:00:00,16.59402,365,160,1964-03-09 09:00:00,0.74728,365,160
1964-10-01,1965-07-20 09:00:00,174.68430,364,292,1965-07-21 09:00:00,38.61412,364,293,1965-07-21 09:00:00,0.78402,364,293
